score,proximity_score,mean_member_km,nearest_home_m,housing_status,site_code,site_name,council,address,size_ha,site_type,development_potential,previous_use,lat,lon,km_from_glasgow_centre,km_from_glasgow_airport,km_from_cumbernauld_airport,in_airport_frz,map_url
9,2,23.0,1.1,violation,NL008501382,FORGEWOOD REGEN AREA 1,North Lanarkshire,BREADALBANE CRESCENT FORGEWOOD MOTHERWELL,0.66,Vacant Land,Developable - Undetermined,Residential - Housing,55.801981,-4.001522,17.1,28.0,16.3,False,"https://www.google.com/maps/search/?api=1&query=55.801981,-4.001522"
9,2,23.0,0.8,violation,NL008501410,FORGEWOOD REGENERATON AREA 4,North Lanarkshire,DALRIADA CRESCENT FORGEWOOD MOTHERWELL,0.51,Vacant Land,Developable - Undetermined,Residential - Housing,55.800796,-4.001397,17.1,28.0,16.5,False,"https://www.google.com/maps/search/?api=1&query=55.800796,-4.001397"
9,0,41.3,0.7,violation,8375221,,South Lanarkshire,BALGRAY ROAD LESMAHAGOW,0.68,Vacant Land,Developable - Undetermined,Passive Open Space,55.626776,-3.878341,34.9,43.9,36.4,False,"https://www.google.com/maps/search/?api=1&query=55.626776,-3.878341"
9,0,44.6,0.2,violation,8375386,,South Lanarkshire,MIDFIELD ROAD COALBURN,0.91,Vacant Land,Developable - Undetermined,Residential - Housing,55.590047,-3.88122,37.9,46.3,40.4,False,"https://www.google.com/maps/search/?api=1&query=55.590047,-3.881220"
9,0,48.1,1.3,violation,6155,FORMER RESIDENTIAL DEVELOPMENT,East Ayrshire,HENDERSON DRIVE SMALLBURN MUIRKIRK,1.07,Vacant Land,Developable - Undetermined,Residential - Housing,55.518531,-4.079375,39.3,44.6,48.2,False,"https://www.google.com/maps/search/?api=1&query=55.518531,-4.079375"
9,0,52.7,0.0,violation,6153,FORMER RESIDENTIAL DEVELOPMENT,East Ayrshire,STONER CRESCENT AUCHINLECK,1.56,Vacant Land,Developable - Undetermined,Residential - Housing,55.474799,-4.292637,42.7,44.4,56.2,False,"https://www.google.com/maps/search/?api=1&query=55.474799,-4.292637"
8,3,13.1,0.1,violation,3138,,Glasgow City,20-38 THARSIS STREET,1.29,Vacant Land,Developable - Short Term,Residential - Housing,55.869505,-4.227136,2.2,12.9,17.6,False,"https://www.google.com/maps/search/?api=1&query=55.869505,-4.227136"
8,3,14.8,25.9,violation,2969,,Glasgow City,PROSPECTHILL RD/ BOLIVAR TERRACE/ HANGINGSHAW P,2.42,Vacant Land,Developable - Medium Term,Residential - Housing,55.827882,-4.249489,3.3,12.3,21.4,False,"https://www.google.com/maps/search/?api=1&query=55.827882,-4.249489"
8,2,15.4,10.3,violation,4035,BROOMLOAN SCHOOL,Glasgow City,BROOMLOAN ROAD/ NEPTUNE STREET.,0.61,Derelict,Uneconomic to Develop/Soft End Use,Education,55.859144,-4.308936,3.3,7.8,22.7,False,"https://www.google.com/maps/search/?api=1&query=55.859144,-4.308936"
8,3,13.1,36.0,violation,3479,,Glasgow City,BENGAIRN STREET/ APPIN ROAD,0.6,Vacant Land,Developable - Medium Term,Residential - Housing,55.859265,-4.200838,3.4,14.6,16.9,False,"https://www.google.com/maps/search/?api=1&query=55.859265,-4.200838"
8,3,14.6,14.2,violation,3618,,Glasgow City,2-80 BARRISDALE ROAD,0.59,Vacant Land,Developable - Medium Term,Residential - Housing,55.897412,-4.290735,5.0,9.6,20.1,False,"https://www.google.com/maps/search/?api=1&query=55.897412,-4.290735"
8,2,17.8,0.3,violation,3853,,Glasgow City,LOCHAR CRESCENT/ WHITE CART WATER,0.59,Vacant Land,Developable - Undetermined,Community & Health,55.834928,-4.338578,5.8,6.9,25.6,False,"https://www.google.com/maps/search/?api=1&query=55.834928,-4.338578"
8,2,16.0,0.5,violation,3539,,Glasgow City,EASTERHOUSE ROAD ABERDALGIE ROAD BALDINNIE RD.,2.24,Vacant Land,Unknown (uncertain/insufficient information),Residential - Housing,55.863371,-4.10961,9.2,20.3,12.4,False,"https://www.google.com/maps/search/?api=1&query=55.863371,-4.109610"
