FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.1033,Fife,FORMER PIGGERY,ROS100,PATTIESMUIR PATTIESMUIR,S01009288,Unknown (uncertain/insufficient information),309512,683842,Ownership unknown,Ownership unknown,2014,Agriculture,0.5,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2560
pub_vdl.1061,Glasgow City,LAURIESTON,1127,BEDFORD STREET/ STIRLINGFAULD PL NORFOLK COURT,S01010035,Developable - Short Term,258961,664350,Other Private,Other Private,1981-1985,Residential - Housing,1.36,Derelict,S12000049,05df8fc4-004a-4125-8629-0ae5c553022b,2025-12-03,238
pub_vdl.1034,Fife,CRAIGTOUN HOUSE,STA002,CRAIGTOUN PARK ST ANDREWS,S01009734,Developable - Undetermined,348018,714385,Ownership unknown,Not applicable (i.e. only one owner),1991-1995,Community & Health,2.62,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2543
pub_vdl.1035,Fife,FORMER TIP SITE,STA006,HIGH ROAD STRATHKINNESS,S01009733,Unknown (uncertain/insufficient information),345486,716385,Ownership unknown,Ownership unknown,2001-2004,Community & Health,1.38,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2573
pub_vdl.1036,Fife,FORMER POULTRY FARM,STA009,KILDUNCAN BY KINGSBARNS,S01009715,Unknown (uncertain/insufficient information),357401,711901,Unknown Private,Not applicable (i.e. only one owner),1996-2000,Agriculture,1.14,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2605
pub_vdl.1037,Fife,SPRINGFIELD STATION,STA012,SPRINGFIELD,S01009681,Unknown (uncertain/insufficient information),335061,711958,Network Rail/ Rail Franchise Holder,Not applicable (i.e. only one owner),2005,Transport,0.14,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2559
pub_vdl.1038,Fife,LAND ADJACENT TO BLOCK 14,SWAC001,RIDGE WAY DALGETY BAY,S01009403,Developable - Undetermined,315811,684169,Local Authority,Local Authority,2006,Other,0.28,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2663
pub_vdl.1039,Fife,FORMER MET STATION,TC007,TAYPORT,S01009742,Unknown (uncertain/insufficient information),347073,727726,Ownership unknown,Not applicable (i.e. only one owner),2001-2004,Other,1.96,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2622
pub_vdl.1040,Fife,FORMER QUARRY,WF002,BOWLEYS NR STEELEND,S01009277,Unknown (uncertain/insufficient information),309263,692759,Ownership unknown,Not applicable (i.e. only one owner),2006,Mineral Activity,1.42,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2547
pub_vdl.1041,Fife,RC CHURCH OF ST PETER,WF034,FERRYTOLL ROAD ROSYTH,S01009377,Unknown (uncertain/insufficient information),310982,682614,Other Private,Not applicable (i.e. only one owner),2008,Community & Health,0.17,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2474
pub_vdl.1042,Fife,GOAT QUARRY 2,WF035,NR CROSSGATES,S01009457,Unknown (uncertain/insufficient information),317213,686534,Other Private,Not applicable (i.e. only one owner),2009,Mineral Activity,2.2,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2619
pub_vdl.1043,Fife,CARPET UNIT,WF037,LATHALMONT DUMFERMLINE,S01009277,Developable - Undetermined,310008,692138,Unknown Private,Not applicable (i.e. only one owner),2012,Community & Health,1.11,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2646
pub_vdl.1045,Fife,GOAT QUARRY,WF009,NR CROSSGATES,S01009456,Unknown (uncertain/insufficient information),317571,687102,Other Private,Not applicable (i.e. only one owner),2006,Mineral Activity,23.59,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2572
